ZCTA,population,median_income,pct_bachelors,unemployment,rent_burden,pct_seniors,score_income,score_education,score_employment,score_housing,score_seniors,overall_score,cluster,cluster_name,z_score,income_quintile
02135,43683,88208.0,71.1,3.3,37.0,13.5,29.529910370639083,73.05194805194805,85.20179372197309,63.0,78.97196261682244,63.18301961172365,1,Moderate-High,0.6113044019482672,Low 20%
02136,38071,96862.0,32.5,6.4,44.2,17.0,33.358402420789055,31.277056277056275,71.30044843049326,55.8,73.5202492211838,48.93097928267837,3,Needs Improvement,-0.681730797165483,Low 20%
02138,38077,122040.0,85.6,3.0,43.8,14.2,44.49704037302802,88.74458874458874,86.54708520179372,56.2,77.88161993769471,69.64798631353241,0,High Performing,1.1978470522311717,High 20%
02139,39609,124648.0,77.6,4.1,34.0,11.3,45.650808256872615,80.08658008658008,81.61434977578477,66.0,82.398753894081,69.19709243042823,0,High Performing,1.1569391086344496,High 20%
02140,21361,136382.0,78.6,2.6,28.8,13.9,50.841878942851324,81.16883116883116,88.34080717488789,71.2,78.34890965732087,72.74572992863028,0,High Performing,1.4788939367244984,High 20%
02141,14677,120542.0,74.5,3.7,32.4,8.6,43.83433167287495,76.73160173160173,83.40807174887892,67.6,86.6043613707165,69.00353383796661,0,High Performing,1.1393782494616251,High 20%
02142,4349,168788.0,91.3,1.9,34.5,7.3,65.178152732678,94.9134199134199,91.4798206278027,65.5,88.62928348909658,80.28178563599468,0,High Performing,2.162612552945745,Highest 20%
02143,25161,126102.0,74.5,3.4,27.5,9.4,46.294051547942416,76.73160173160173,84.75336322869957,72.5,85.35825545171339,70.74291151079728,0,High Performing,1.2971855881722139,High 20%
02144,25009,140591.0,75.2,2.6,29.2,9.8,52.70392227993028,77.4891774891775,88.34080717488789,70.8,84.73520249221184,72.8499566264757,0,High Performing,1.488350041667372,Highest 20%
02145,27929,119167.0,55.3,2.5,29.9,10.1,43.226037639022834,55.95238095238094,88.78923766816143,70.1,84.26791277258567,64.9992434587418,1,Moderate-High,0.7760837113976092,High 20%
02148,65509,95298.0,44.9,5.6,40.5,13.2,32.666495607011086,44.69696969696969,74.88789237668162,59.5,79.43925233644859,54.16237003497638,1,Moderate-High,-0.2071059556083152,Low 20%
02149,49236,79658.0,23.5,5.4,48.2,10.9,25.747427469231383,21.536796536796533,75.7847533632287,51.800000000000004,83.02180685358256,45.64018735951098,3,Needs Improvement,-0.9802922446055992,Low 20%
02150,39444,72122.0,22.0,8.8,45.7,11.2,22.4135337680608,19.91341991341991,60.53811659192825,54.29999999999999,82.55451713395638,41.804813452151464,3,Needs Improvement,-1.3282616124631563,Lowest 20%
02151,59949,80948.0,24.7,7.2,50.1,15.4,26.31811787189991,22.835497835497833,67.71300448430495,49.9,76.01246105919004,43.41225092962943,3,Needs Improvement,-1.182424722392213,Low 20%
02152,18807,106357.0,42.9,5.9,41.7,19.7,37.55894922182603,42.53246753246753,73.54260089686098,58.3,69.31464174454828,53.32283854240042,1,Moderate-High,-0.28327356007775445,Middle 20%
02155,61276,118403.0,57.7,4.4,34.7,15.2,42.88804735403155,58.549783549783555,80.26905829596411,65.3,76.32398753894081,62.10566813904068,1,Moderate-High,0.5135602654012276,High 20%
02163,1852,74028.0,96.0,10.6,60.6,0.0,23.25673989789508,100.0,52.466367713004495,39.4,100.0,59.18745851707467,3,Needs Improvement,0.2488018397669341,Lowest 20%
02169,60928,92080.0,48.5,8.0,37.3,17.8,31.24286636996664,48.59307359307359,64.12556053811659,62.7,72.27414330218069,52.551511428601444,3,Needs Improvement,-0.35325323212094345,Low 20%
02170,19685,101840.0,46.0,6.1,32.3,16.7,35.56064802116421,45.887445887445885,72.6457399103139,67.7,73.98753894080996,55.829925353296304,1,Moderate-High,-0.05581479495514852,Middle 20%
